"req_id","area_id","area","element","standard_target","current_state","implementation_action","data_or_calculation","evidence_id","implementation_status","audit_result","finding_or_action","reviewer","review_date"
"CUR-FT-10","area-curtiduria","Curtiduría","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-CUR-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-11","area-curtiduria","Curtiduría","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-CUR-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"CUR-FT-12","area-curtiduria","Curtiduría","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-CUR-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-01","area-fmr","Formas, Moldes y Réplicas","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-FMR-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-02","area-fmr","Formas, Moldes y Réplicas","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-FMR-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-03","area-fmr","Formas, Moldes y Réplicas","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-FMR-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-04","area-fmr","Formas, Moldes y Réplicas","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-FMR-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-05","area-fmr","Formas, Moldes y Réplicas","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-FMR-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-06","area-fmr","Formas, Moldes y Réplicas","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-FMR-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-07","area-fmr","Formas, Moldes y Réplicas","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-FMR-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-08","area-fmr","Formas, Moldes y Réplicas","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-FMR-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-09","area-fmr","Formas, Moldes y Réplicas","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-FMR-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-10","area-fmr","Formas, Moldes y Réplicas","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-FMR-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-11","area-fmr","Formas, Moldes y Réplicas","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-FMR-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"FMR-FT-12","area-fmr","Formas, Moldes y Réplicas","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-FMR-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-01","area-montaje","Montaje","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-MON-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-02","area-montaje","Montaje","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-MON-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-03","area-montaje","Montaje","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-MON-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-04","area-montaje","Montaje","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-MON-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-05","area-montaje","Montaje","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-MON-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-06","area-montaje","Montaje","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-MON-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-07","area-montaje","Montaje","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-MON-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-08","area-montaje","Montaje","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-MON-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-09","area-montaje","Montaje","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-MON-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-10","area-montaje","Montaje","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-MON-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-11","area-montaje","Montaje","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-MON-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"MON-FT-12","area-montaje","Montaje","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-MON-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-01","area-retoque","Retoque","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-RET-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-02","area-retoque","Retoque","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-RET-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-03","area-retoque","Retoque","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-RET-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-04","area-retoque","Retoque","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-RET-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-05","area-retoque","Retoque","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-RET-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-06","area-retoque","Retoque","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-RET-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-07","area-retoque","Retoque","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-RET-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-08","area-retoque","Retoque","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-RET-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-09","area-retoque","Retoque","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-RET-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-10","area-retoque","Retoque","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-RET-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-11","area-retoque","Retoque","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-RET-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"RET-FT-12","area-retoque","Retoque","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-RET-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-01","area-bases","Bases","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-BAS-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-02","area-bases","Bases","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-BAS-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-03","area-bases","Bases","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-BAS-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-04","area-bases","Bases","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-BAS-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-05","area-bases","Bases","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-BAS-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-06","area-bases","Bases","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-BAS-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-07","area-bases","Bases","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-BAS-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-08","area-bases","Bases","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-BAS-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-09","area-bases","Bases","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-BAS-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-10","area-bases","Bases","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-BAS-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-11","area-bases","Bases","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-BAS-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"BAS-FT-12","area-bases","Bases","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-BAS-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-01","area-carpinteria","Carpintería / Embalaje","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-CAR-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-02","area-carpinteria","Carpintería / Embalaje","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-CAR-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-03","area-carpinteria","Carpintería / Embalaje","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-CAR-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-04","area-carpinteria","Carpintería / Embalaje","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-CAR-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-05","area-carpinteria","Carpintería / Embalaje","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-CAR-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-06","area-carpinteria","Carpintería / Embalaje","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-CAR-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-07","area-carpinteria","Carpintería / Embalaje","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-CAR-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-08","area-carpinteria","Carpintería / Embalaje","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-CAR-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-09","area-carpinteria","Carpintería / Embalaje","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-CAR-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-10","area-carpinteria","Carpintería / Embalaje","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-CAR-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-11","area-carpinteria","Carpintería / Embalaje","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-CAR-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"CAR-FT-12","area-carpinteria","Carpintería / Embalaje","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-CAR-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-01","area-soldadura","Soldadura / Adaptación","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-SOL-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-02","area-soldadura","Soldadura / Adaptación","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-SOL-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-03","area-soldadura","Soldadura / Adaptación","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-SOL-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-04","area-soldadura","Soldadura / Adaptación","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-SOL-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-05","area-soldadura","Soldadura / Adaptación","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-SOL-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-06","area-soldadura","Soldadura / Adaptación","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-SOL-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-07","area-soldadura","Soldadura / Adaptación","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-SOL-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-08","area-soldadura","Soldadura / Adaptación","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-SOL-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-09","area-soldadura","Soldadura / Adaptación","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-SOL-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-10","area-soldadura","Soldadura / Adaptación","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-SOL-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-11","area-soldadura","Soldadura / Adaptación","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-SOL-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"SOL-FT-12","area-soldadura","Soldadura / Adaptación","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-SOL-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-01","area-blanqueado","Blanqueado","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-BLA-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-02","area-blanqueado","Blanqueado","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-BLA-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-03","area-blanqueado","Blanqueado","Almacenamiento","Cada categoría tiene ubicación reconocible; materiales pesados o inestables quedan asegurados y el acceso no exige desmontar otras categorías.","","","","EVID-BLA-FT-03","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-04","area-blanqueado","Blanqueado","Iluminación","La iluminación se verifica en el plano real de la tarea cuando calidad o seguridad dependan de ella.","","","","EVID-BLA-FT-04","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-05","area-blanqueado","Blanqueado","Ventilación y extracción","La ventilación responde a la operación y exposición real; cuando corresponda, la captura se controla en el punto de generación.","","","","EVID-BLA-FT-05","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-06","area-blanqueado","Blanqueado","Energía, agua, drenaje, aire y servicios","Servicios e instalaciones se usan sin improvisaciones, daño, obstrucción, humedad peligrosa o contaminación cruzada.","","","","EVID-BLA-FT-06","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-07","area-blanqueado","Blanqueado","Químicos, materiales y HDS","Producto identificado, recipiente secundario identificado cuando corresponda, HDS accesible y almacenamiento compatible con el producto real.","","","","EVID-BLA-FT-07","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-08","area-blanqueado","Blanqueado","Residuos, recuperables y limpieza","Residuo, sobrante recuperable y material útil se separan; el área cierra limpia y lista sin dispersar contaminantes.","","","","EVID-BLA-FT-08","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-09","area-blanqueado","Blanqueado","Emergencia y señalización","Rutas, salidas, medios de respuesta y señalización aplicables son visibles, accesibles y corresponden a la evaluación vigente.","","","","EVID-BLA-FT-09","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-10","area-blanqueado","Blanqueado","Activos, guardas y mantenimiento","Equipo crítico tiene identidad, condición utilizable, control de fuera de servicio y mantenimiento o inspección proporcional al riesgo.","","","","EVID-BLA-FT-10","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-11","area-blanqueado","Blanqueado","Identidad y trazabilidad","Toda pieza, piel, forma, componente o trabajo en espera conserva ID y siguiente acción; la trazabilidad no depende de memoria.","","","","EVID-BLA-FT-11","NOT_CHECKED","NOT_CHECKED","","",""
"BLA-FT-12","area-blanqueado","Blanqueado","Competencia, EPP y autorización","La operación la ejecuta personal autorizado; el EPP y la competencia corresponden a la tarea y riesgo real.","","","","EVID-BLA-FT-12","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-01","area-soporte","Espacios de soporte","Límite, flujo y circulación","El área tiene límites reconocibles; entrada, salida, espera y transferencia no se mezclan. Pasillos, salidas, tableros y medios de emergencia permanecen libres.","","","","EVID-SUP-FT-01","NOT_CHECKED","NOT_CHECKED","","",""
"SUP-FT-02","area-soporte","Espacios de soporte","Estación, superficies y mobiliario","La estación permite ejecutar la tarea; superficies y mobiliario son estables, utilizables y vuelven a condición lista al cierre.","","","","EVID-SUP-FT-02","NOT_CHECKED","NOT_CHECKED","","",""
