"req_id","reference","title","applicability_class","trigger_fact","trigger_evidence_ids","applicability_decision","decision_basis","checker","decision_date","source_authority","source_url","source_verified_on","verification_status","notes"
"STPS-025","NOM-025-STPS-2008","Iluminación","CORE_CANDIDATE","Tareas visuales en áreas de trabajo","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/UPLOAD/NOMS/NOM-025.PDF","","PARTIAL",""
"STPS-026","NOM-026-STPS-2008","Colores y señales de seguridad","CORE_CANDIDATE","Señales/rutas/equipo/obligaciones de seguridad","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","PARTIAL",""
"STPS-027","NOM-027-STPS-2008","Soldadura y corte","CORE_CANDIDATE","ROCA realiza soldadura/adaptación","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/noms/Nom-027.pdf","","PARTIAL",""
"STPS-030","NOM-030-STPS-2009","Servicios preventivos SST","CORE_CANDIDATE","Centro de trabajo","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-036","NOM-036-1-STPS-2018","Ergonomía manejo manual de cargas","CONDITIONAL","Carga/traslado manual de piezas, formas, materiales","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"SEM-052","NOM-052-SEMARNAT-2005","Identificación/clasificación de residuos peligrosos","CORE_CANDIDATE","Corrientes potencialmente peligrosas a clasificar","","","","","","OFFICIAL_PRIMARY","https://dof.gob.mx/nota_detalle_popup.php?codigo=4912592","","PARTIAL",""
"SEM-0717","SEMARNAT-07-017","Registro de generadores de residuos peligrosos","CONDITIONAL","ROCA genera residuos peligrosos","","","","","","OFFICIAL_PRIMARY","https://www.gob.mx/public/tramites/detalleTramite.xhtml?homoclave=SEMARNAT-07-017","","APPLICABILITY_PENDING",""
"SEM-WW","NOM-002-SEMARNAT-1996","Descarga a alcantarillado urbano/municipal","CONDITIONAL","Descarga real de aguas residuales a sistema cubierto","","","","","","OFFICIAL_PRIMARY","https://www.dof.gob.mx/","","APPLICABILITY_PENDING",""
"SEM-08006","SEMARNAT-08-006","Prestadores de servicios en vida silvestre","CORE_CANDIDATE","Preparación/preservación/montaje/tratamiento o transformación de ejemplares/partes/derivados","","","","","","OFFICIAL_PRIMARY","https://www.gob.mx/public/tramites/detalleTramite.xhtml?homoclave=SEMARNAT-08-006","","APPLICABILITY_PENDING",""
"SEM-08009","SEMARNAT-08-009","Importación/exportación/reexportación vida silvestre","CONDITIONAL","Movimiento transfronterizo de ejemplares/partes/derivados","","","","","","OFFICIAL_PRIMARY","https://www.gob.mx/public/tramites/detalleTramite.xhtml?homoclave=SEMARNAT-08-009","","APPLICABILITY_PENDING",""
"CITES","CITES","Permisos/certificados de comercio internacional","CONDITIONAL","Especie/parte/derivado y movimiento sujeto a CITES","","","","","","OFFICIAL_PRIMARY","https://cites.org/","","APPLICABILITY_PENDING",""
"SLP-PC-PIPC","Ley del Sistema de Protección Civil de SLP · art. 15","Programa Interno de Protección Civil","CONDITIONAL","Inmueble/instalación fija o móvil del sector privado que por naturaleza o uso reciba afluencia constante o masiva de personas","","","","","","OFFICIAL_PRIMARY","https://congresosanluis.gob.mx/sites/default/files/unpload/legislacion/leyes/2025/08/Ley%20del%20Sistema%20de%20Proteccion%20Civil%20(al%2011%20%20Julio%202025).pdf","","APPLICABILITY_PENDING",""
"SLP-PC-AFORO","Ley del Sistema de Protección Civil de SLP · art. 15","Aforo máximo visible","CONDITIONAL","Se activa para los inmuebles/instalaciones sujetos al artículo 15 y conforme al reglamento/lineamientos aplicables","","","","","","OFFICIAL_PRIMARY","https://congresosanluis.gob.mx/sites/default/files/unpload/legislacion/leyes/2025/08/Ley%20del%20Sistema%20de%20Proteccion%20Civil%20(al%2011%20%20Julio%202025).pdf","","APPLICABILITY_PENDING",""
"SLP-MUN-FUNC","Municipio de San Luis Potosí · factibilidad / funcionamiento","Uso de suelo y licencia de funcionamiento","CORE_CANDIDATE","Establecimiento comercial, industrial y/o de servicios operando en el Municipio de San Luis Potosí","","","","","","OFFICIAL_PRIMARY","https://municipiodeslp.gob.mx/","","APPLICABILITY_PENDING",""
"SLP-PC-CONSULT","Ley del Sistema de Protección Civil de SLP · art. 52","Agente consultor capacitador registrado","CONDITIONAL","ROCA contrata asesoría/capacitación/evaluación o elaboración de PIPC/estudio de riesgo que requiera agente consultor/carta de corresponsabilidad","","","","","","OFFICIAL_PRIMARY","https://proteccioncivil.slp.gob.mx/consultores-2024/","","APPLICABILITY_PENDING",""
"STPS-022","NOM-022-STPS-2015","Electricidad estática","CONDITIONAL","Procesos/materiales/atmósferas donde una descarga electrostática pueda representar riesgo","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-029","NOM-029-STPS-2011","Mantenimiento de instalaciones eléctricas","CONDITIONAL","ROCA o contratista realiza mantenimiento de instalaciones eléctricas permanentes/provisionales","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/nom/NOM-029.pdf","","APPLICABILITY_PENDING",""
"SLP-ENV-WW-2026","NTE-SLP-AR-001/2026","Descargas de aguas residuales a drenaje/alcantarillado","CONDITIONAL","ROCA descarga aguas residuales de proceso a la red de drenaje/alcantarillado en municipio cubierto por la NTE","","","","","","OFFICIAL_PRIMARY","https://periodicooficial.slp.gob.mx/","","APPLICABILITY_PENDING",""
"STPS-009","NOM-009-STPS-2011","Trabajos en altura","CONDITIONAL","Se realizan trabajos en altura con equipos/sistemas de acceso o protección contra caídas dentro del alcance vigente","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
"STPS-015","NOM-015-STPS-2001","Condiciones térmicas extremas","CONDITIONAL","Existe exposición laboral a fuentes térmicas capaz de llevar temperatura corporal por debajo de 36°C o por arriba de 38°C","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/noms/Nom-015.pdf","","APPLICABILITY_PENDING",""
"STPS-024","NOM-024-STPS-2001","Vibraciones","CONDITIONAL","Herramienta/equipo genera exposición relevante a vibración de mano-brazo o cuerpo entero","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/noms/Nom-024.pdf","","APPLICABILITY_PENDING",""
"STPS-028","NOM-028-STPS-2012","Seguridad en procesos/equipos con sustancias químicas","CONDITIONAL","Proceso/equipo maneja sustancias químicas peligrosas dentro de los supuestos/cantidades de proceso crítico de la norma","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/nom/NOM-028-STPS-2012.pdf","","APPLICABILITY_PENDING",""
"STPS-033","NOM-033-STPS-2015","Espacios confinados","CONDITIONAL","Existe ingreso de personas a un espacio que cumple definición de espacio confinado","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/upload/nom/44.pdf","","APPLICABILITY_PENDING",""
"STPS-035","NOM-035-STPS-2018","Factores de riesgo psicosocial","CORE_CANDIDATE","Todo centro de trabajo; las obligaciones cambian por número de trabajadores","","","","","","OFFICIAL_PRIMARY","https://sidof.segob.gob.mx/notas/docFuente/5541828","","NOT_CHECKED",""
"SLP-ENV-RINP","SEGAM · Registro de Generadores de Residuos Industriales No Peligrosos","Residuos industriales no peligrosos","CONDITIONAL","ROCA genera residuos industriales no peligrosos sujetos al registro estatal","","","","","","OFFICIAL_PRIMARY","https://segam.slp.gob.mx/residuos/","","APPLICABILITY_PENDING",""
"SLP-ENV-RME","SEGAM / NOM-161-SEMARNAT-2011","Plan de manejo de residuos de manejo especial","CONDITIONAL","ROCA genera residuos de manejo especial y se activa supuesto de plan; SEGAM señala gran generador >10 t/año para su trámite estatal","","","","","","OFFICIAL_PRIMARY","https://segam.slp.gob.mx/residuos/","","APPLICABILITY_PENDING",""
"SLP-MUN-CONST","Ley de Ordenamiento Territorial y Desarrollo Urbano SLP · arts. 303-305","Licencia municipal de construcción/modificación","CONDITIONAL","Fast Track requiere construcción nueva, ampliación, modificación, reparación, excavación, demolición o modificación estructural del inmueble","","","","","","OFFICIAL_PRIMARY","https://congresosanluis.gob.mx/sites/default/files/unpload/legislacion/leyes/2025/10/Ley%20de%20Ordenamiento%20Territorial%20y%20Desarrollo%20Urbano%20%28al%2002%20de%20octubre%202025%29.pdf","","APPLICABILITY_PENDING",""
"SLP-ENV-AIR","SEGAM · Fuentes Fijas","Permiso de Operación de Fuente Fija / COA","CONDITIONAL","Instalación permanente con proceso industrial que genera emisiones contaminantes a la atmósfera y cae en jurisdicción local","","","","","","OFFICIAL_PRIMARY","https://segam.slp.gob.mx/atmosfera-y-fuentes-fijas/","","APPLICABILITY_PENDING",""
"SLP-ENV-IA","SEGAM · Impacto Ambiental","Impacto ambiental / informe preventivo / exención","CONDITIONAL","Obra, ampliación, modificación o actividad propuesta activa supuesto de evaluación ambiental estatal/local","","","","","","OFFICIAL_PRIMARY","https://segam.slp.gob.mx/impacto/","","APPLICABILITY_PENDING",""
"STPS-034","NOM-034-STPS-2016","Acceso y actividades de trabajadores con discapacidad","CONDITIONAL","Laboran personas trabajadoras con discapacidad y deben garantizarse condiciones de acceso, tránsito, evacuación y actividad seguras dentro del alcance vigente","","","","","","OFFICIAL_PRIMARY","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx","","APPLICABILITY_PENDING",""
