"req_id","reference","title","applicability_class","trigger_fact","roca_output","closure_channel","status","official_source"
"STPS-020","NOM-020-STPS-2011","Recipientes sujetos a presión/calderas","CONDITIONAL","Compresor/receptor u otro recipiente dentro de alcance","Inventario, categoría, funcionamiento, revisiones/documentación","FIELD+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-025","NOM-025-STPS-2008","Iluminación","CORE_CANDIDATE","Tareas visuales en áreas de trabajo","Reconocimiento y medición por tarea/plano real","MEASUREMENT+DOCUMENT","PARTIAL","https://asinom.stps.gob.mx/UPLOAD/NOMS/NOM-025.PDF"
"STPS-026","NOM-026-STPS-2008","Colores y señales de seguridad","CORE_CANDIDATE","Señales/rutas/equipo/obligaciones de seguridad","Señales, colores y tuberías cuando aplique","FIELD","PARTIAL","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-027","NOM-027-STPS-2008","Soldadura y corte","CORE_CANDIDATE","ROCA realiza soldadura/adaptación","Área, análisis de riesgos, EPP, ventilación, incendio, primeros auxilios y capacitación","FIELD+DOCUMENT","PARTIAL","https://asinom.stps.gob.mx/upload/noms/Nom-027.pdf"
"STPS-030","NOM-030-STPS-2009","Servicios preventivos SST","CORE_CANDIDATE","Centro de trabajo","Diagnóstico/programa/acciones preventivas y seguimiento","DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-036","NOM-036-1-STPS-2018","Ergonomía manejo manual de cargas","CONDITIONAL","Carga/traslado manual de piezas, formas, materiales","Evaluación y medidas de control según tareas reales","FIELD+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"SEM-052","NOM-052-SEMARNAT-2005","Identificación/clasificación de residuos peligrosos","CORE_CANDIDATE","Corrientes potencialmente peligrosas a clasificar","Identificar material/proceso y determinar clasificación antes de etiquetar/destinar","DOCUMENT","PARTIAL","https://dof.gob.mx/nota_detalle_popup.php?codigo=4912592"
"SEM-0717","SEMARNAT-07-017","Registro de generadores de residuos peligrosos","CONDITIONAL","ROCA genera residuos peligrosos","Clasificación, cantidad anual y registro/actualización según categoría","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://www.gob.mx/public/tramites/detalleTramite.xhtml?homoclave=SEMARNAT-07-017"
"SEM-WW","NOM-002-SEMARNAT-1996","Descarga a alcantarillado urbano/municipal","CONDITIONAL","Descarga real de aguas residuales a sistema cubierto","Caracterizar ruta/descarga y revisar obligaciones locales/competentes","DOCUMENT+MEASUREMENT","APPLICABILITY_PENDING","https://www.dof.gob.mx/"
"SEM-08006","SEMARNAT-08-006","Prestadores de servicios en vida silvestre","CORE_CANDIDATE","Preparación/preservación/montaje/tratamiento o transformación de ejemplares/partes/derivados","Confirmar situación registral, titular/razón social y expediente vigente","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://www.gob.mx/public/tramites/detalleTramite.xhtml?homoclave=SEMARNAT-08-006"
"SEM-08009","SEMARNAT-08-009","Importación/exportación/reexportación vida silvestre","CONDITIONAL","Movimiento transfronterizo de ejemplares/partes/derivados","Permiso/autorización/certificado, legal procedencia y CITES cuando corresponda","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://www.gob.mx/public/tramites/detalleTramite.xhtml?homoclave=SEMARNAT-08-009"
"CITES","CITES","Permisos/certificados de comercio internacional","CONDITIONAL","Especie/parte/derivado y movimiento sujeto a CITES","Apéndice, marcaje, source/purpose codes y permiso/certificado aplicable","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://cites.org/"
"SLP-PC-PIPC","Ley del Sistema de Protección Civil de SLP · art. 15","Programa Interno de Protección Civil","CONDITIONAL","Inmueble/instalación fija o móvil del sector privado que por naturaleza o uso reciba afluencia constante o masiva de personas","Resolver aplicabilidad; si activa, integrar PIPC, brigada interna, riesgos, recursos, procedimientos y evidencias conforme al régimen vigente","AUTHORITY_RECORD+DOCUMENT+FIELD","APPLICABILITY_PENDING","https://congresosanluis.gob.mx/sites/default/files/unpload/legislacion/leyes/2025/08/Ley%20del%20Sistema%20de%20Proteccion%20Civil%20(al%2011%20%20Julio%202025).pdf"
"SLP-PC-AFORO","Ley del Sistema de Protección Civil de SLP · art. 15","Aforo máximo visible","CONDITIONAL","Se activa para los inmuebles/instalaciones sujetos al artículo 15 y conforme al reglamento/lineamientos aplicables","Determinar aforo autorizado por la vía competente y exhibir leyenda visible en exterior cuando el régimen aplique","AUTHORITY_RECORD+FIELD","APPLICABILITY_PENDING","https://congresosanluis.gob.mx/sites/default/files/unpload/legislacion/leyes/2025/08/Ley%20del%20Sistema%20de%20Proteccion%20Civil%20(al%2011%20%20Julio%202025).pdf"
"SLP-MUN-FUNC","Municipio de San Luis Potosí · factibilidad / funcionamiento","Uso de suelo y licencia de funcionamiento","CORE_CANDIDATE","Establecimiento comercial, industrial y/o de servicios operando en el Municipio de San Luis Potosí","Reconciliar factibilidad/licencia de uso de suelo, giro, superficie y licencia comercial/funcionamiento vigente; mantener expediente y refrendos","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://municipiodeslp.gob.mx/"
"SLP-PC-CONSULT","Ley del Sistema de Protección Civil de SLP · art. 52","Agente consultor capacitador registrado","CONDITIONAL","ROCA contrata asesoría/capacitación/evaluación o elaboración de PIPC/estudio de riesgo que requiera agente consultor/carta de corresponsabilidad","Verificar registro vigente del agente en CEPC y conservar identificación del consultor/corresponsabilidad dentro del expediente","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://proteccioncivil.slp.gob.mx/consultores-2024/"
"STPS-022","NOM-022-STPS-2015","Electricidad estática","CONDITIONAL","Procesos/materiales/atmósferas donde una descarga electrostática pueda representar riesgo","Identificar zonas/equipos/materiales que requieren control de electricidad estática, puesta a tierra u otras medidas según la operación real","FIELD+MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-029","NOM-029-STPS-2011","Mantenimiento de instalaciones eléctricas","CONDITIONAL","ROCA o contratista realiza mantenimiento de instalaciones eléctricas permanentes/provisionales","Personal capacitado, procedimiento seguro, equipo/herramienta adecuada, control de energía y registros de mantenimiento","FIELD+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/upload/nom/NOM-029.pdf"
"SLP-ENV-WW-2026","NTE-SLP-AR-001/2026","Descargas de aguas residuales a drenaje/alcantarillado","CONDITIONAL","ROCA descarga aguas residuales de proceso a la red de drenaje/alcantarillado en municipio cubierto por la NTE","Mapear puntos de descarga y separar sanitaria/pluvial/proceso; si activa, integrar caracterización/condiciones/permiso o expediente aplicable con autoridad/operador","AUTHORITY_RECORD+MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://periodicooficial.slp.gob.mx/"
"STPS-009","NOM-009-STPS-2011","Trabajos en altura","CONDITIONAL","Se realizan trabajos en altura con equipos/sistemas de acceso o protección contra caídas dentro del alcance vigente","Identificar tareas/alturas reales, sistema de acceso/protección, autorización, inspección y rescate aplicable antes de ejecutar","FIELD+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/Centro/CentroMarcoNormativo.aspx"
"STPS-015","NOM-015-STPS-2001","Condiciones térmicas extremas","CONDITIONAL","Existe exposición laboral a fuentes térmicas capaz de llevar temperatura corporal por debajo de 36°C o por arriba de 38°C","Reconocimiento/evaluación de exposición y controles por fuente/tarea si el trigger se activa","MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/upload/noms/Nom-015.pdf"
"STPS-024","NOM-024-STPS-2001","Vibraciones","CONDITIONAL","Herramienta/equipo genera exposición relevante a vibración de mano-brazo o cuerpo entero","Reconocer fuente/tiempo/frecuencia; evaluar exposición y definir controles cuando se active","MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/upload/noms/Nom-024.pdf"
"STPS-028","NOM-028-STPS-2012","Seguridad en procesos/equipos con sustancias químicas","CONDITIONAL","Proceso/equipo maneja sustancias químicas peligrosas dentro de los supuestos/cantidades de proceso crítico de la norma","Determinar alcance por sustancia/cantidad/proceso antes de exigir análisis de riesgos de proceso, integridad mecánica y administración de cambios","DOCUMENT+EXTERNAL_SPECIALIST","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/upload/nom/NOM-028-STPS-2012.pdf"
"STPS-033","NOM-033-STPS-2015","Espacios confinados","CONDITIONAL","Existe ingreso de personas a un espacio que cumple definición de espacio confinado","Inventariar espacios candidatos; clasificar/análisis de riesgos y controlar autorización/atmósfera/rescate sólo donde se active","FIELD+MEASUREMENT+DOCUMENT","APPLICABILITY_PENDING","https://asinom.stps.gob.mx/upload/nom/44.pdf"
"STPS-035","NOM-035-STPS-2018","Factores de riesgo psicosocial","CORE_CANDIDATE","Todo centro de trabajo; las obligaciones cambian por número de trabajadores","Confirmar plantilla del centro; aplicar bloque ≤15, 16-50 o >50, política/información y evaluaciones/registros que correspondan","DOCUMENT","NOT_CHECKED","https://sidof.segob.gob.mx/notas/docFuente/5541828"
"SLP-ENV-RINP","SEGAM · Registro de Generadores de Residuos Industriales No Peligrosos","Residuos industriales no peligrosos","CONDITIONAL","ROCA genera residuos industriales no peligrosos sujetos al registro estatal","Inventariar corrientes/cantidades/destinos; reconciliar si existe registro vigente y usar bitácora/manifiesto/reporte que corresponda","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://segam.slp.gob.mx/residuos/"
"SLP-ENV-RME","SEGAM / NOM-161-SEMARNAT-2011","Plan de manejo de residuos de manejo especial","CONDITIONAL","ROCA genera residuos de manejo especial y se activa supuesto de plan; SEGAM señala gran generador >10 t/año para su trámite estatal","Cuantificar corrientes/año; confirmar categoría y, si activa, registro de generador vigente + plan de manejo y seguimiento","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://segam.slp.gob.mx/residuos/"
"SLP-MUN-CONST","Ley de Ordenamiento Territorial y Desarrollo Urbano SLP · arts. 303-305","Licencia municipal de construcción/modificación","CONDITIONAL","Fast Track requiere construcción nueva, ampliación, modificación, reparación, excavación, demolición o modificación estructural del inmueble","Antes de ejecutar obra física que active el supuesto: reconciliar uso de suelo y expediente/licencia municipal con proyecto/memorias que correspondan","AUTHORITY_RECORD+DOCUMENT","APPLICABILITY_PENDING","https://congresosanluis.gob.mx/sites/default/files/unpload/legislacion/leyes/2025/10/Ley%20de%20Ordenamiento%20Territorial%20y%20Desarrollo%20Urbano%20%28al%2002%20de%20octubre%202025%29.pdf"
