"area","category","item","historical_target","source","decision_state","note"
"Retoque/Bases","EPP","Respirador reutilizable","4","p.203","R1_VALIDATE_BEFORE_BUY","Seleccionar filtros/cartuchos sólo después de contaminante, HDS y exposición real."
"Retoque","Equipo compartido","Compresor + línea regulada","1 sistema / 4 salidas","p.203","VERIFY_EXISTING_SYSTEM","Confirmar compresor real, placa, condición y necesidad de 4 salidas."
"Retoque","Equipo compartido","Pistola de pintura","2","p.203","VERIFY_STOCK_FIRST","Cantidad histórica."
"Retoque","Equipo compartido","Secadora/equipo de aire","2","p.203","VERIFY_STOCK_FIRST","Confirmar uso real."
"Bases","Equipo compartido","Caladora","2","p.203","VERIFY_STOCK_FIRST","Confirmar si Bases o Carpintería será dueño canónico del activo."
"Bases","Equipo compartido","Sierra grande","1","p.203","VERIFY_STOCK_FIRST","Confirmar necesidad, ubicación y control de polvo."
"Bases","Equipo compartido","Pulidor/esmeril angular","2","p.203","VERIFY_STOCK_FIRST","Confirmar interfaz con Soldadura."
"Bases","Equipo compartido","Grapadora uso pesado","2","p.203","VERIFY_STOCK_FIRST","Confirmar sistema real de malla/costal."
"Bases","Equipo compartido","Taladro servicio pesado","1","p.203","VERIFY_STOCK_FIRST","Confirmar necesidad real."
"Bases/Retoque","Equipo compartido","Bandejas de mezcla reutilizables","8","p.203","VERIFY_STOCK_FIRST","Objetivo histórico: dos por trabajador."
"Bases","Mobiliario","Mesa/banco de armado","2","p.203","VERIFY_LAYOUT_FIRST","Confirmar layout, simultaneidad y dimensiones antes de fabricar/comprar."
"Retoque","Almacenamiento químico","Gabinete para inflamables/solventes","1","p.203","R1_VALIDATE_BEFORE_BUY","Primero inventario químico + HDS + compatibilidad/volumen real."
"Bases/Retoque","Emergencia","Extintor ABC","1 mínimo área","p.203","R1_VALIDATE_BEFORE_BUY","No comprar por conteo histórico: validar riesgo, distribución y cobertura vigente."
"Bases","Consumible","Grapas","4 cajas + 1 reserva","p.204","VERIFY_CONSUMPTION_FIRST","Stock objetivo histórico."
"Bases","Consumible","Tornillos surtidos","1 organizador/persona + reserva","p.204","VERIFY_CONSUMPTION_FIRST","Separar por diámetro/longitud."
"Bases","Consumible","Brocas de repuesto","2 juegos reserva","p.204","VERIFY_CONSUMPTION_FIRST","Stock objetivo histórico."
"Retoque","Consumible","Barniz brillante spray","4 operativas + 2 reserva","p.204","R1_VERIFY_PRODUCT_HDS","La fuente fotografió Sayer 425 ml; no fijar marca sin inventario/HDS vigente."
"Bases","Consumible","Poliuretano A/B","1 operativo + 1 reserva","p.204","R1_HOLD_RECIPE_CONFLICT","No comprar/canonizar receta hasta cerrar producto y conflicto 50/50 vs 30/70."
"Bases","Consumible","Malla 8x8","1 rollo + 1 reserva","p.204","VERIFY_CONSUMPTION_FIRST","Entrevista primaria confirma malla 8x8."
"Bases","Material","Triplay industrial 18 mm","4 hojas mínimas","p.204","VERIFY_PROJECT_QUEUE_FIRST","18 mm y cantidad son práctica/stock histórico, no especificación universal."
"Bases","Consumible","Dextrina","1 trabajo + 1 reserva","p.204","VERIFY_CONSUMPTION_FIRST","Entrevista primaria confirma uso."
"Bases","Consumible","Blanco España","1 trabajo + 1 reserva","p.204","VERIFY_CONSUMPTION_FIRST","Entrevista primaria confirma relación 2:1 con dextrina."
"Bases","Material","Tierra / arena","2 contenedores de cada tipo","p.204","VERIFY_CONSUMPTION_FIRST","Separar por textura/color."
"Retoque/Bases","Consumible","Pinturas base agua","1 juego + blanco/negro reserva","p.204","VERIFY_PALETTE_FIRST","Paleta vigente todavía no cerrada."
"Retoque","Consumible","Resistol blanco 800","4 + 2 reserva","p.204","VERIFY_CONSUMPTION_FIRST","Entrevista primaria confirma uso en textura de nariz."
"Retoque","Químico","Gasolina blanca","1 operativo + 1 reserva","p.204","R1_VERIFY_PRODUCT_HDS","Confirmar cantidad, recipiente y almacenamiento según HDS."
"Retoque","Consumible","Manchas para cuerno","1 juego roble/encino/roble oscuro","p.204","VERIFY_PALETTE_FIRST","Tonos históricos; confirmar uso actual."
"Retoque","Consumible","Aceite para cuernos","2 envases","p.204","VERIFY_CONSUMPTION_FIRST","Entrevista primaria confirma uso."
"Retoque/Bases","EPP/Consumible","Guantes desechables","1 caja por talla + 1 reserva","p.204","VALIDATE_TASK_EPP","Definir material/talla según químico y tarea."
"Curtiduría","Equipo","Hidrolavadora regulable","—","p.75","DO_NOT_BUY_YET","La fuente dice explícitamente: no comprar/operar por PSI solo; validar equipo+boquilla+piel+prueba."
